If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Micro Profile JavaEE com Wildfly Swarm,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Building Spring Cloud Microservices That Strangle Legacy Systems,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
The Future of Digital Banking is Now,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
360 million reasons to destroy all passwords - Free Code Camp,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,What to Expect at WWDC 2016
"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",This startup uses machine learning and satellite imagery to predict crop yields,Google's Cloud Machine Learning service is now in public beta,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Scala is the new golden child,Algorithms and architecture for job recommendations
Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,Johnson & Johnson comprará grupo suíço por US$ 30 bi,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,7 Questions to Ask Before Your Next Digital Transformation,Para entender o Dia Internacional contra a Homofobia,Who sponsors Drupal development? | Dries Buytaert
2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The return of the machinery question,Two Different Sales Motions . . . .,The AI business landscape,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",An operating model for company-wide agile development
Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Why image recognition is about to transform business
Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Being A Developer After 40 - Free Code Camp,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,Joel on Software
Confused by blockchains? Revolution vs Evolution,Banking Needs a Customer Experience Wake-Up Call,Making open source data more available,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Itaú é pioneiro do blockchain,The barbell effect of machine learning.
Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,How it feels to learn Javascript in 2016,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Elastic Stack 5.0.0 Released
Rewiring Citi for the digital age,Embracing Agile,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",An operating model for company-wide agile development,Innovation is in all the wrong places,Big IT Rising
Bots won't replace apps. Better apps will replace apps.,Being A Developer After 40 - Free Code Camp,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",This Super Accurate Portrait Selection Tech Uses Neural Networks,Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull
Decentralizing IoT networks through blockchain,The barbell effect of machine learning.,Making open source data more available,You won't recognize the new world of digital payments without this report,Confused by blockchains? Revolution vs Evolution,Mary Meeker's essential 2016 Internet Trends Report
What's the Best Programming Language to Learn in 2017?,LPIC-OT DevOps Engineer | Linux Professional Institute,Gartner: em 2020 não haverá mais aplicativos,Discutindo Devops na Prática,Java 8 Streams - A Deeper Approach About Performance Improvement,Most Interesting APIs in 2016: Cognitive Computing
Introducing New Relic Infrastructure,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Using Honcho to Create a Multi-Process Docker Container,Decentralizing IoT networks through blockchain,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Mary Meeker's essential 2016 Internet Trends Report
Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,"Kotlin in Production - What works, Whats broken","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Notes on Reactive Programming Part I: The Reactive Landscape,Standing on the Shoulders of Giants - Built to Adapt
Mobile marketing statistics 2016,Why image recognition is about to transform business,An operating model for company-wide agile development,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Confused by blockchains? Revolution vs Evolution,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans"
Criadas para casar,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,O homofóbico dentro de cada um,O chefe é gay. E daí?,#iLookLikeAnEngineer: One Year Later,A importância dos filmes de mulherzinha - Capitolina
Governo define cronograma para plano nacional de Internet das Coisas,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Mobile banking conquista o coração dos brasileiros,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Itaú é pioneiro do blockchain,Goodbye accountants! Startup builds AI to automate all your accounting
Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Notes on Reactive Programming Part I: The Reactive Landscape,Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways","Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
On Orchestrated Microservices - Built to Adapt,Combining Spring Boot and JDBI,Building Spring Cloud Microservices That Strangle Legacy Systems,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Microservices: Real Architectural Patterns
Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Why Is Learning Drupal Hard?,Criando ícones animados no Android,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo)
The barbell effect of machine learning.,Making open source data more available,The AI business landscape,"Hello, TensorFlow!",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Machine Learning Is Redefining The Enterprise In 2016
The surprising truth about which countries lead in digital,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,The new tech talent you need to succeed in digital,Can Accenture Take Over Advertising?,55 fornecedores de TI que apresentarão novidades no Ciab 2016,The future of the shopping mall
How will bots make money? Here are 7 business models,Why Deep Learning Is Suddenly Changing Your Life,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",This Super Accurate Portrait Selection Tech Uses Neural Networks,5 reasons your employees aren't sharing their knowledge,Blaise Agüera y Arcas: How computers are learning to be creative
The Developer's Midlife Crisis: What's Next?,It's The Future,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,The Importance of Code Reviews,How to Design a Walkthrough That Users Will Read,Jury finds Google's implementation of Java in Android was fair use
Google segue Microsoft e lança ferramenta analítica grátis,The return of the machinery question,The AI business landscape,A step-by-step guide to agile growth experiments,Touch (TV Series 2012-2013),"No, Apple isn't the next BlackBerry - it's the next Microsoft"
How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,"Amazon open-sources its own deep learning software, DSSTNE",The AI business landscape,Google lags behind Amazon and Microsoft's cloud in one important area,This Super Accurate Portrait Selection Tech Uses Neural Networks
Ultimate AI battle - Apple vs. Google,Being A Developer After 40 - Free Code Camp,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Joel on Software,Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments
Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,The moment when you realize every server in the world is vulnerable - Free Code Camp,The technology behind preview photos,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Internet of Things Drives Outcome-Based Business Models,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi
Facebook's WhatsApp does something very different than Google,An overview of web service solutions in Drupal 8,Making open source data more available,The AI business landscape,Spotify UI built with HTML / CSS - Freebiesbug,Touch (TV Series 2012-2013)
15 Interesting JavaScript and CSS Libraries for October 2016,"How to build a robot that ""sees"" with $100 and TensorFlow",Visa inaugura centro para inovação em pagamento digital | EXAME.com,Dark Scrum,The Java 8 API Design Principles,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores
Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",The Genderbread Person v3 | It's Pronounced Metrosexual,Criadas para casar,"No dia das mães, Avon lança campanha com mãe de jovem gay"
A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',The technology behind preview photos,How I sped up the initial render of my Polymer app by 86%,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Chrome OS now has Material Design for the desktop,Closure Compiler in JavaScript
